text,label
"Ganhe um iPhone grátis! Clique aqui para receber agora.","phishing"
"Atualize seus dados bancários imediatamente para evitar bloqueio.","phishing"
"Seu acesso foi temporariamente desativado, confirme seus dados para reativação.","phishing"
"Você foi selecionado para receber R$ 5.000,00! Resgate agora.","phishing"
"Mensagem importante sobre sua conta, acesse o link para verificar.","phishing"
"Precisamos atualizar seu token de segurança, faça login por este link.","phishing"
"Seus dados estão desatualizados, clique aqui para atualizar.","phishing"
"Você ganhou um prêmio exclusivo, faça o resgate antes que expire.","phishing"
"Pagamento recusado! Verifique sua conta imediatamente.","phishing"
"Seu CPF está irregular, atualize seus dados aqui.","phishing"
"Novo dispositivo detectado em sua conta, faça login para confirmar.","phishing"
"Parabéns! Você recebeu um reembolso inesperado. Clique para ver.","phishing"
"Sua encomenda está presa na alfândega. Pague a taxa para liberar.","phishing"
"Atualize seus dados de cartão de crédito antes de perder acesso.","phishing"
"Seu e-mail foi sorteado! Clique para validar sua participação.","phishing"
"Reunião marcada para amanhã às 14h com o time de vendas.","legitimo"
"Segue em anexo o relatório financeiro do mês.","legitimo"
"Favor revisar o contrato atualizado e enviar até sexta-feira.","legitimo"
"Documento solicitado está disponível no sistema.","legitimo"
"Atualização de software será realizada às 23h.","legitimo"
"Confirmamos o recebimento do pagamento.","legitimo"
"A reunião foi reagendada para segunda-feira.","legitimo"
"Seu pedido foi enviado e chegará em breve.","legitimo"
"Segue o comprovante solicitado em anexo.","legitimo"
"Obrigado por entrar em contato com nosso suporte.","legitimo"
"O relatório do projeto está pronto para revisão.","legitimo"
"A nota fiscal da compra está em anexo.","legitimo"
"Segue o cronograma atualizado da equipe.","legitimo"
"Podemos agendar uma ligação para discutir o projeto?","legitimo"
"Enviei os arquivos solicitados. Me avise se precisar de mais algo.","legitimo"
